ALARM ID,0,,,,,
DATE,2023/4/27,12:13:16,,,,
,,,,,,
No,DATE,TIME,COUNT,STATUS,ALARM No,MESSAGE
390,2023/1/11,12:25:08,800,ON,34,ワーク無し異常
391,2023/1/10,9:25:15,870,ON,2,横穴未貫通異常
392,2023/1/10,9:22:16,424,ON,4,首下位置不良
393,2023/1/10,9:21:58,869,ON,2,横穴未貫通異常
394,2023/1/10,19:15:04,799,ON,34,ワーク無し異常
395,2023/1/10,18:24:45,798,ON,34,ワーク無し異常
396,2023/1/10,17:56:33,157,ON,3,ノッチ前進不良
397,2023/1/10,17:42:10,797,ON,34,ワーク無し異常
398,2023/1/10,16:47:49,796,ON,34,ワーク無し異常
399,2023/1/10,14:58:28,874,ON,2,横穴未貫通異常
400,2023/1/10,14:45:06,217,ON,0,安全クラッチ異常
401,2023/1/10,13:47:21,156,ON,3,ノッチ前進不良
402,2023/1/10,13:47:20,795,ON,34,ワーク無し異常
403,2023/1/10,12:34:56,873,ON,2,横穴未貫通異常
404,2023/1/10,11:06:44,872,ON,2,横穴未貫通異常
405,2023/1/10,10:48:28,794,ON,34,ワーク無し異常
406,2023/1/10,10:30:03,871,ON,2,横穴未貫通異常
407,2023/04/18,12:44:57,942,ON,34,ワーク無し異常
408,2023/04/18,12:20:06,256,ON,0,安全クラッチ異常
409,2023/04/18,10:27:24,941,ON,34,ワーク無し異常
410,2023/04/18,09:45:09,450,ON,4,首下位置不良
411,2023/04/18,09:44:57,966,ON,2,横穴未貫通異常
412,2023/04/17,19:34:00,255,ON,0,安全クラッチ異常
413,2023/04/17,19:20:49,31,ON,54,ｶｳﾝﾄ用ｾﾝｻｰ異常
414,2023/04/17,19:04:57,30,ON,54,ｶｳﾝﾄ用ｾﾝｻｰ異常
415,2023/04/17,17:56:05,29,ON,54,ｶｳﾝﾄ用ｾﾝｻｰ異常
416,2023/04/17,17:43:31,28,ON,54,ｶｳﾝﾄ用ｾﾝｻｰ異常
417,2023/04/17,12:54:23,254,ON,0,安全クラッチ異常
418,2023/04/17,12:48:30,253,ON,0,安全クラッチ異常
